date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:14	2373/2373	---MC-	200	added ('OK')	text/xml	date:Fri,%2025%20Mar%202022%2008:50:05%20GMT	https://vizulab.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvizulab.com.au%2F&format=xml	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-json/oembed/1.0/embed3583	(from https://vizulab.com.au/)
14:20:15	804/804	---M--	200	added ('OK')	image/png	etag:%22eb4f4bf6782406a9%22	https://i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/cropped-freedspace-mothership-launch-512x512.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/vizual/i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/cropped-freedspace-mothership-launch-512x512e43b.png	(from https://vizulab.com.au/)
14:20:15	3019/3019	---M--	200	added ('OK')	image/png	etag:%22cec40df064b3dcba%22	https://i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/cropped-freedspace-mothership-launch-512x512.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/vizual/i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/cropped-freedspace-mothership-launch-512x51298d8.png	(from https://vizulab.com.au/)
14:20:16	2989/2989	---M--	200	added ('OK')	image/png	etag:%2251285dd3f31e1b52%22	https://i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/cropped-freedspace-mothership-launch-512x512.png?fit=180%2C180&ssl=1	C:/My%20Web%20Sites/vizual/i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/cropped-freedspace-mothership-launch-512x512f9b5.png	(from https://vizulab.com.au/)
14:20:16	4147/4147	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/7yiyq0b2/88bzv.css	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/7yiyq0b2/88bzv.css	(from https://vizulab.com.au/)
14:20:18	427717/427717	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/d34ywko2/88bzv.js	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/d34ywko2/88bzv.js	(from https://vizulab.com.au/)
14:20:19	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/vizual/www.google-analytics.com/analytics.js	(from https://vizulab.com.au/)
14:20:19	84/84	---M--	200	added ('OK')	image/png	etag:%22e71426b95d334de4%22	https://i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/site-dividers.png?w=790&ssl=1	C:/My%20Web%20Sites/vizual/i0.wp.com/vizulab.com.au/wp-content/uploads/2017/08/site-dividersa557.png	(from https://vizulab.com.au/)
14:20:22	116741/116741	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202022%2008:50:20%20GMT	http://vizulab.com.au/contact/	C:/My%20Web%20Sites/vizual/vizulab.com.au/contact/index.html	(from https://vizulab.com.au/)
14:20:22	1364/1364	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Nov%202019%2006:22:50%20GMT	https://vizulab.com.au/wp-content/uploads/2017/09/vizulab.png	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/uploads/2017/09/vizulab.png	(from https://vizulab.com.au/)
14:20:25	158678/158678	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2011:24:53%20GMT	https://vizulab.com.au/products/	C:/My%20Web%20Sites/vizual/vizulab.com.au/products/index.html	(from https://vizulab.com.au/)
14:20:26	6346/6346	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2006:01:20%20GMT	http://vizulab.com.au/wp-content/uploads/2021/11/3d-pluraview-logo.png	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/uploads/2021/11/3d-pluraview-logo.png	(from https://vizulab.com.au/)
14:20:26	150347/150347	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Feb%202022%2015:33:59%20GMT	https://vizulab.com.au/products/virtual-reality/	C:/My%20Web%20Sites/vizual/vizulab.com.au/products/virtual-reality/index.html	(from https://vizulab.com.au/)
14:20:26	55862/55862	---M--	200	added ('OK')	image/jpeg	etag:%222124568d4625bece%22	https://i0.wp.com/vizulab.com.au/wp-content/uploads/2021/11/pluraview-layer-banner.jpg?fit=1600%2C400&ssl=1	C:/My%20Web%20Sites/vizual/i0.wp.com/vizulab.com.au/wp-content/uploads/2021/11/pluraview-layer-bannerada4.jpg	(from https://vizulab.com.au/)
14:20:30	36035/36035	---M--	200	added ('OK')	image/jpeg	etag:%22dc884b15a127c655%22	https://i0.wp.com/vizulab.com.au/wp-content/uploads/2017/09/optitrack-vr.jpg?fit=1600%2C400&ssl=1	C:/My%20Web%20Sites/vizual/i0.wp.com/vizulab.com.au/wp-content/uploads/2017/09/optitrack-vrada4.jpg	(from https://vizulab.com.au/)
14:20:30	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2025%20Mar%202022%2008:50:26%20GMT	https://vizulab.com.au/worldviz-australia/vizmove-seated-vr-system/	C:/My%20Web%20Sites/vizual/vizulab.com.au/worldviz-australia/vizmove-seated-vr-system/index.html	(from https://vizulab.com.au/)
